cdc-p14-s2960-1	42.200.65.22
cdc-d46-s2960-1	42.200.65.34
cdc-b9-s2960-1	42.200.65.25
cdc-e1-s2960-1	42.200.65.23
cdc-l19-s2960-1	42.200.65.18
oak-b1-north-s2960s-1	10.117.7.14
oak-b1-cr-s4507-1	10.117.7.4
oak-b1-cr-s4507-2	10.117.7.5
oak-b1-south-s2960s-1	10.117.7.15
oak-cr-isr3945e-2	10.117.0.9
p3fads2	172.29.0.15
p3o2depl1	172.24.0.32
p3o2depl3	172.24.0.34
p3oandepl2	172.24.0.24
p3oansmrt1	172.24.0.36
p3oansmrt2	172.24.0.37
p3o2depl2	172.24.0.33
p3sandepl1	172.26.0.8
p3sccs1	172.31.3.99
vau-B8-s3850-1	42.40.76.13
vau-B5-s3850-1	42.40.76.14
mela-cr-s2960s-1	10.109.230.10
melb-cr-s2960s-1	42.40.24.10
mela-cr-isr2951-1	10.109.224.5
mela-cr-isr2951-2	10.109.224.9
melb-cr-isr2951-1	10.112.0.5
melb-cr-isr2951-2	10.112.0.9
vau-cr-isr3945e-1	10.115.0.5
montcff-cr-s3850s-1	10.104.1.21
lachinecff-cr-isr2951-1	10.104.0.5
lachinecff-cr-isr2951-2	10.104.0.9
vau-rec-isr3945e-1	10.115.0.9
vau-G1-s3850-1	42.40.76.19
EPSLN-ELK-CR-ISR2951-2	10.81.0.9
bdp-cr-isr2951-1	10.81.96.5
bdp-cr-isr2951-2	10.81.96.9
EPSLN-ELK-CR-ISR2951-1	10.81.0.5
EPSLN-LEW-CR-ISR2951-2	10.81.33.6
EPSLN-LEW-CR-ISR2951-1	10.81.33.5
rcb-hydro-s2960s-1	42.40.7.7
rcb-closet-s2960s-2	42.40.7.23
rcb-studio-s2960s-1	42.40.7.10
rcb-cr-isr3945e-1	10.113.0.5
rcb-cr-isr3945e-2	10.113.0.9
rcb-cr-s4507-2	10.113.2.42
rcb-cr-s4507-1	10.113.2.34
rcb-closet-s2960-1	42.40.7.8
acm-cr-isr2951-1	10.112.160.5
acm-cr-isr2951-2	10.112.160.9
acm-cr-s2960-1	42.100.5.252
HK-CR-ISR4451-1	10.105.2.1
HK-CR-ISR4451-2	10.105.1.131
HK-CR-S3850-1	10.105.2.3
HK-CR-S3850-2	10.105.2.4
SH-CR-ISR2951-1	10.105.32.5
SH-CR-S2960x-1	10.105.33.74
van-cr-isr2951-1	10.108.0.5
van-cr-isr2951-2	10.108.0.9
van-cr-s3850-1	10.108.1.80
P3WANN9K1	172.21.12.12
gwcr-inet-asr1001x-1	10.2.42.102
gwcr-inet-asr1001x-2	10.2.42.103
GW-SVC-CTC-S3850-1	10.125.233.11
GW-TOR02-14-S9108-1	10.2.42.19
GW-TOR02-15-S93180-2	10.2.42.33
WDC-TOR-E15-S93108-2	10.17.119.61
GW-ACC-CTC-NX5596-1	10.125.119.90
GW-ACC-CTC-NX5596-2	10.125.119.91
GW-AGG-INFRA-1	10.126.72.1
GW-AGG-INFRA-2	10.125.8.3
GW-CR-AGG-NX7010-1	10.127.10.1
GW-CR-AGG-NX7010-2	10.126.2.73
GW-CR-CORE-NX7010-1	42.152.240.193
GW-CR-CORE-NX7010-2	42.152.240.201
gw-cr-core-rtr-1	10.126.0.28
gw-cr-core-rtr-2	10.126.0.32
gw-cr-core-sw-1	10.126.5.29
gw-cr-core-sw-1	10.126.1.70
gw-cr-core-sw-2	10.125.5.3
GW-CR-DMZ-NX3048-1	10.2.42.126
GW-CR-DMZ-NX3048-2	10.2.42.127
GW-CR-DMZ-NX93180-1	10.2.42.108
GW-CR-DMZ-NX93180-2	10.2.42.109
GW-CR-DMZ-NX93180-3	10.2.42.116
GW-CR-DMZ-NX93180-4	10.2.42.117
GW-CR-DMZ-NX93180-5	10.2.42.118
GW-CR-DMZ-NX93180-6	10.2.42.119
GW-CR-DMZ-NX9332-1	10.125.0.136
GW-CR-DMZ-NX9332-2	10.125.0.137
gw-cr-inet-rtr-1	10.2.42.21
gw-cr-inet-rtr-2	10.2.42.22
gw-cr-inet-sw-1	10.2.42.23
gw-cr-inet-sw-2	10.2.42.24
GW-CR-INT-NX93180-1	10.2.42.41
GW-CR-INT-NX93180-2	10.2.42.42
gw-cr-nx5548-1	10.126.7.13
gw-cr-nx5548-2	10.126.7.14
gw-cr-nx5548-3	10.126.7.15
gw-cr-nx5548-4	10.126.7.16
gw-cr-nx5548-51	10.126.7.26
gw-cr-nx5548-52	10.126.7.27
gw-cr-s4510-1	10.125.0.20
GWCR-VPN-ASR1001HX-1	10.125.5.1
GWCR-VPN-ASR1001HX-1.ns.ctc	10.2.42.31
gw-cwlab-s2960-1	10.125.7.7
GW-DEV-SWTCH-1	42.200.150.240
GW-DEV-SWTCH-2	42.200.150.241
GW-DEV-SWTCH-3	42.200.150.242
GW-DR-CTC-S3850-1.ns.ctc	10.125.119.98
GW-ESZ-NX3048-1	10.2.34.114
GW-ESZ-NX3048-2	10.2.34.115
gw-esz-nx3048-3	10.2.34.131
gw-esz-nx3048-4	10.2.34.132
gw-esz-nx92160-1.ns.ctc(FDO222511FA)	10.2.34.133
gw-esz-nx92160-2.ns.ctc(FDO222511F9)	10.2.34.134
gw-esz-s9504-1  	10.2.34.112
